class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (SD),2025-09-20 14:50:00,615.819774977748,4,0.44094603983683334,0.44093406858546025,0.918161603885255,0.9181602027417175,0.9636632715539655,0.9636867468354173
training (SD),2025-09-20 15:00:00,620.5407242017134,4,0.43758750136864133,0.43757953073206424,0.9111717371120994,0.9111750242875789,0.9563296556382631,0.9563552115756307
training (SD),2025-09-20 15:10:00,629.9913783862713,4,0.43102018579022566,0.43101529356141793,0.8974992816819269,0.8975062657115397,0.9741444622537223,0.974144618826074
training (SD),2025-09-20 15:20:00,631.7284722963952,4,0.5415026544653996,0.5415158237261151,0.9153562894255192,0.9153790336470436,0.9396955450578951,0.9397223816908857
training (SD),2025-09-20 15:30:00,625.6436606219057,4,0.5467706587032906,0.5467824347597091,0.9018320430787456,0.9018607259075102,0.9488365168966401,0.9488618233232168
training (SD),2025-09-20 15:40:00,614.4429343671767,4,0.47896370062082017,0.4789701107698047,0.918274550724161,0.9183008126035757,0.9610544191245831,0.96106151852225
training (SD),2025-09-20 15:50:00,613.9835915994437,4,0.479321972519425,0.47932844519331796,0.9189614182293733,0.9189878258114921,0.9617732897600859,0.9617805225215746
training (SD),2025-09-20 16:00:00,613.9364879415856,4,0.4793586959110814,0.47936522118485375,0.9190318486738756,0.9190583342255919,0.9618469569950736,0.9618543141621714
training (SD),2025-09-20 16:10:00,614.9086027399165,4,0.4786004096126592,0.4786073881943205,0.9175782634664746,0.9176053862537321,0.96032525464282,0.9603337096227826
training (SD),2025-09-20 16:20:00,619.7361171905424,4,0.47486992861355726,0.47487921418832824,0.9104277544558538,0.9104575806970809,0.9528392186799584,0.9528530662779287
training (SD),2025-09-20 16:30:00,625.7264661872705,4,0.47032242914594957,0.4703329909134625,0.9094784887244435,0.9095070223434283,0.9437139138196333,0.9437309934265319
training (SD),2025-09-20 10:40:00,604.3376624993048,4,0.20906439615972902,0.2090989406111114,0.8587163481714443,0.8587410650159429,0.9764078911653696,0.976452684144241
training (SD),2025-09-20 10:50:00,620.0727397786061,4,0.6430945406835341,0.6431434938909704,0.9113816404717566,0.9113715372003122,0.9632861388384335,0.9633226943563048
training (SD),2025-09-20 11:00:00,624.9850754297157,4,0.6380368120459003,0.6380884344375145,0.90420584208506,0.9042082255156012,0.9557061231034152,0.9557510504866399
training (SD),2025-09-20 11:10:00,624.8052861871383,4,0.6382193056656363,0.638272045938347,0.9044630503472924,0.9044684136343505,0.9793431673324895,0.9793973814930599
training (SD),2025-09-20 11:20:00,622.9966218291054,4,0.47039145725455744,0.47048612536908996,0.9086594899741842,0.9087306054713835,0.9444542770033272,0.9445191104518441
training (SD),2025-09-20 11:30:00,617.1259085915336,4,0.47486335505556587,0.47496185566309446,0.917310804568489,0.9173753515769283,0.9534474040175351,0.9535043122845211
training (SD),2025-09-20 11:40:00,610.8335240167992,4,0.4797544266823322,0.4798545842653306,0.9103640110191371,0.9103942228945614,0.9632742388719839,0.9633266543640906
training (SD),2025-09-20 11:50:00,611.208474425655,4,0.4794602412934906,0.4795602138825726,0.9098050159522826,0.909835734751191,0.9626828517659552,0.9627356944248407
training (SD),2025-09-20 12:00:00,610.9670718139846,4,0.47964942608595845,0.47974969559676833,0.9101644924715783,0.910195225029297,0.9630631625045012,0.9631160863014315
training (SD),2025-09-20 12:10:00,614.7627345914224,4,0.47668981958334744,0.47678762916104983,0.9045361317150686,0.9045755055156517,0.9571090753622288,0.9571696232622308
training (SD),2025-09-20 12:20:00,622.5401579935474,4,0.49548781757403315,0.4955847330197594,0.8932266122022018,0.893274601284411,0.978781943557191,0.9787851349766405
training (SD),2025-09-20 12:30:00,627.6177578159768,4,0.6600420762017852,0.6600530656194038,0.8859981110185204,0.8860477647260478,0.9708592535657267,0.9708664947443303
training (SD),2025-09-20 12:40:00,624.1288004144415,4,0.6162269041222043,0.6163362336607947,0.9018165768820705,0.9018994645561825,0.939286071968791,0.9393574326373606
training (SD),2025-09-20 12:50:00,617.5012090426125,4,0.6018612848060386,0.6019525280863831,0.9115026511080997,0.9115794797885693,0.9493766677553576,0.9494394812624366
training (SD),2025-09-20 13:00:00,612.4840114597241,4,0.6067922834908419,0.606883456424791,0.9189748095293098,0.9190467348956957,0.9571604471365388,0.9572168687229449
training (SD),2025-09-20 13:10:00,612.5249884151091,4,0.6067518642048888,0.606842856878996,0.9189136523500335,0.9189852521190501,0.9570967863120119,0.9571528324245648
training (SD),2025-09-20 13:20:00,612.4653608221616,4,0.6068110959292217,0.6069019370836372,0.919003393818653,0.9190747214703691,0.9571903039798997,0.9572460176447113
training (SD),2025-09-20 13:30:00,613.0862406681131,4,0.6061951396532222,0.606287320156672,0.918066734531213,0.9181439633915993,0.9562135206069953,0.9562766030329509
training (SD),2025-09-20 13:40:00,623.0901947179573,4,0.5964628931116339,0.596553142756246,0.9360162637570976,0.9360928958345606,0.957584203942042,0.9576273036161779
training (SD),2025-09-20 13:50:00,628.3960854333557,4,0.6544816108139084,0.6544872791227541,0.9409553572834579,0.9409429150907522,0.9700021800259795,0.9700666079145895
