training_fraction,offline_fraction,hours,coverage,shift_envelope_mw,deferred_active_mwh,extra_energy_fraction,recovery_active_mwh,external_recovery_headroom_mw,recovery_time_lower_bound_h,net_active_energy_saved_mwh
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.1,26.67643314807123,5.0,5.335286629614246,-2.4251302861882937
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.25,30.314128577353667,0.5,60.628257154707335,-6.0628257154707335
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.25,30.314128577353667,1.0,30.314128577353667,-6.0628257154707335
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.25,30.314128577353667,2.0,15.157064288676834,-6.0628257154707335
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.25,30.314128577353667,5.0,6.0628257154707335,-6.0628257154707335
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.0,139.3471927494604,0.5,278.6943854989208,0.0
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.0,139.3471927494604,1.0,139.3471927494604,0.0
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.0,139.3471927494604,2.0,69.6735963747302,0.0
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.0,139.3471927494604,5.0,27.869438549892077,0.0
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.05,146.31455238693343,0.5,292.62910477386686,-6.96735963747302
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.05,146.31455238693343,1.0,146.31455238693343,-6.96735963747302
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.05,146.31455238693343,2.0,73.15727619346671,-6.96735963747302
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.05,146.31455238693343,5.0,29.262910477386686,-6.96735963747302
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.1,153.28191202440644,0.5,306.5638240488129,-13.93471927494604
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.1,153.28191202440644,1.0,153.28191202440644,-13.93471927494604
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.1,153.28191202440644,2.0,76.64095601220322,-13.93471927494604
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.1,153.28191202440644,5.0,30.65638240488129,-13.93471927494604
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.25,174.1839909368255,0.5,348.367981873651,-34.8367981873651
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.25,174.1839909368255,1.0,174.1839909368255,-34.8367981873651
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.25,174.1839909368255,2.0,87.09199546841275,-34.8367981873651
1.0,1.0,24,0.95,5.806133031227517,139.3471927494604,0.25,174.1839909368255,5.0,34.8367981873651,-34.8367981873651
