model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.25,0.75,4,0.99,4433,3.7109682035235783,1.4958923500569823,0.9900744416873449,3.7109682035235783
power_curves,0.25,0.75,24,0.5,4393,4.779741456685571,1.7746992828359973,0.5005690871841566,4.779741456685571
power_curves,0.25,0.75,24,0.8,4393,4.4195983876242195,1.6551276305110347,0.8026405645344867,4.4195983876242195
power_curves,0.25,0.75,24,0.9,4393,3.9622355858310367,1.5824005090918272,0.9009788299567494,3.9622355858310367
power_curves,0.25,0.75,24,0.95,4393,3.7550070848313144,1.5263852121396821,0.9533348508991577,3.7550070848313144
power_curves,0.25,0.75,24,0.99,4393,3.3707575727936305,1.3822964839158633,0.9945367630320965,3.3707575727936305
power_curves,0.25,1.0,1,0.5,4439,5.476649194026878,1.9677483892463956,0.5001126379815274,5.476649194026878
power_curves,0.25,1.0,1,0.8,4439,4.924490317233442,1.8138351639663377,0.8001802207704438,4.924559494399252
power_curves,0.25,1.0,1,0.9,4439,4.674198762206875,1.7201395463803228,0.9002027483667493,4.674214488562901
power_curves,0.25,1.0,1,0.95,4439,4.396978295236414,1.6446821660332718,0.950214012164902,4.398325302883292
power_curves,0.25,1.0,1,0.99,4439,3.922278891747813,1.5185248710087709,0.9900878576255914,3.9233517678104186
power_curves,0.25,1.0,4,0.5,4433,5.255799022890691,1.9259934454361884,0.5003383713061132,5.255799022890691
power_curves,0.25,1.0,4,0.8,4433,4.742398144877106,1.772547047229856,0.8005865102639296,4.742398144877106
power_curves,0.25,1.0,4,0.9,4433,4.48342275595637,1.6833956355396635,0.9000676742612227,4.484063486314146
power_curves,0.25,1.0,4,0.95,4433,4.1589032411540625,1.614334322676072,0.9505977893074667,4.1589032411540625
power_curves,0.25,1.0,4,0.99,4433,3.7745335135576763,1.4997992815992134,0.9900744416873449,3.7745335135576763
power_curves,0.25,1.0,24,0.5,4393,4.819454789508747,1.8209703675074862,0.5012519918051446,4.819454789508747
power_curves,0.25,1.0,24,0.8,4393,4.433600265239862,1.6810405489940452,0.8033234691554746,4.433600265239862
power_curves,0.25,1.0,24,0.9,4393,4.029282107059252,1.614334322676072,0.900523560209424,4.029282107059252
power_curves,0.25,1.0,24,0.95,4393,3.7766834516387027,1.5444722726625721,0.9540177555201457,3.7766834516387027
power_curves,0.25,1.0,24,0.99,4393,3.4775223059334612,1.3878203629123345,0.9945367630320965,3.4775223059334612
power_curves,0.5,0.0,1,0.5,4439,7.205413436351648,3.6805915281755226,0.5001126379815274,7.205413436351648
power_curves,0.5,0.0,1,0.8,4439,6.483263937225802,3.233274726947761,0.8001802207704438,6.4834446516581625
power_curves,0.5,0.0,1,0.9,4439,6.067368535849326,3.06235725153079,0.9002027483667493,6.067787113231683
power_curves,0.5,0.0,1,0.95,4439,5.747103782955337,2.9584281793927096,0.950214012164902,5.749524197422128
power_curves,0.5,0.0,1,0.99,4439,5.158467076628682,2.7777154911681348,0.9900878576255914,5.1603907776088
power_curves,0.5,0.0,4,0.5,4433,6.95072505292635,3.611469178125383,0.500112790435371,6.95072505292635
power_curves,0.5,0.0,4,0.8,4433,6.274210690668337,3.1730687459674916,0.8001353485224453,6.274398073370802
power_curves,0.5,0.0,4,0.9,4433,5.856548104756172,3.0018018787622225,0.9002932551319648,5.856548104756172
power_curves,0.5,0.0,4,0.95,4433,5.527698035998222,2.908857454412599,0.9503722084367245,5.530110639900791
power_curves,0.5,0.0,4,0.99,4433,4.98922955818146,2.731449693852901,0.9900744416873449,4.98922955818146
power_curves,0.5,0.0,24,0.5,4393,6.561363891894368,3.4305313329058276,0.5039836102890963,6.561363891894368
power_curves,0.5,0.0,24,0.8,4393,5.836038497476805,3.045501319773484,0.8017300250398361,5.836038497476805
power_curves,0.5,0.0,24,0.9,4393,5.462235207028314,2.8967378803055586,0.9034828135670385,5.462235207028314
power_curves,0.5,0.0,24,0.95,4393,5.08809491984231,2.7460242108241055,0.9501479626678807,5.093341430282786
power_curves,0.5,0.0,24,0.99,4393,4.792816942958801,2.632554531637909,0.992943318916458,4.792816942958801
power_curves,0.5,0.25,1,0.5,4439,7.238257915898673,3.701510353099482,0.5001126379815274,7.238257915898673
power_curves,0.5,0.25,1,0.8,4439,6.535120491972428,3.2868877882218364,0.8001802207704438,6.535770333756555
power_curves,0.5,0.25,1,0.9,4439,6.125272273670056,3.130646428794178,0.9002027483667493,6.126384321584486
power_curves,0.5,0.25,1,0.95,4439,5.805581448389044,3.0231665330921307,0.950214012164902,5.806122529824545
power_curves,0.5,0.25,1,0.99,4439,5.236777007739777,2.841678468785676,0.9900878576255914,5.237629445727252
power_curves,0.5,0.25,4,0.5,4433,6.988404994955389,3.632419177750604,0.500112790435371,6.988404994955389
power_curves,0.5,0.25,4,0.8,4433,6.327494485306612,3.232619448748196,0.8008120911346718,6.328145055923452
power_curves,0.5,0.25,4,0.9,4433,5.943127408280651,3.074639002064948,0.9000676742612227,5.943127408280651
power_curves,0.5,0.25,4,0.95,4433,5.588573433305406,2.975949973986858,0.9503722084367245,5.588573433305406
power_curves,0.5,0.25,4,0.99,4433,5.069796706019675,2.7961187498636564,0.9900744416873449,5.069796706019675
power_curves,0.5,0.25,24,0.5,4393,6.5934168801796655,3.432939012740596,0.5012519918051446,6.5934168801796655
power_curves,0.5,0.25,24,0.8,4393,5.903810393032246,3.0765899864050783,0.8010471204188482,5.903810393032246
power_curves,0.5,0.25,24,0.9,4393,5.532657105751107,2.9578885245517905,0.9034828135670385,5.532657105751107
power_curves,0.5,0.25,24,0.95,4393,5.118849675312703,2.840610075091655,0.9510585021625313,5.118849675312703
power_curves,0.5,0.25,24,0.99,4393,4.798309813425951,2.7299543477924146,0.9943091281584339,4.798309813425951
power_curves,0.5,0.5,1,0.5,4439,7.266883524923799,3.7251573617973293,0.5001126379815274,7.266883524923799
power_curves,0.5,0.5,1,0.8,4439,6.595108456376416,3.345878199695919,0.8001802207704438,6.595315631258728
power_curves,0.5,0.5,1,0.9,4439,6.201875836391496,3.194822364752889,0.9002027483667493,6.201969186197367
power_curves,0.5,0.5,1,0.95,4439,5.873629105369043,3.082918632483082,0.950214012164902,5.873800437460845
power_curves,0.5,0.5,1,0.99,4439,5.2953677858394235,2.897655168100847,0.9900878576255914,5.302903453959567
power_curves,0.5,0.5,4,0.5,4433,7.020100859029663,3.6524157603720724,0.5007895330475975,7.020100859029663
power_curves,0.5,0.5,4,0.8,4433,6.400855717999244,3.2816886815709414,0.8001353485224453,6.400912749622223
